OBJECTID;TOPE_CHORROS_WGS84_tif;X;Y;TOPE_CHORROS_WGS84_Band_1
398;-2395;-73,681611367766564;7,743807173959922;-2395,0312500
399;-2421;-73,671907151493471;7,743807173959922;-2421,7951660
400;-2436;-73,662202935220378;7,743807173959922;-2436,2155762
401;-2464;-73,652498718947285;7,743807173959922;-2464,1049805
402;-2470;-73,642794502674192;7,743807173959922;-2470,4841309
403;-2477;-73,633090286401099;7,743807173959922;-2477,2045898
404;-2477;-73,623386070128007;7,743807173959922;-2477,1733398
405;-2507;-73,613681853854914;7,743807173959922;-2507,9157715
406;-2537;-73,603977637581821;7,743807173959922;-2537,7302246
407;-2568;-73,594273421308728;7,743807173959922;-2568,1523438
408;-2632;-73,584569205035635;7,743807173959922;-2632,8703613
409;-2708;-73,574864988762542;7,743807173959922;-2708,6857910
410;-2750;-73,565160772489449;7,743807173959922;-2750,8525391
411;-1448;-73,856287260682251;7,734102957686829;-1448,5001221
412;-1515;-73,846583044409158;7,734102957686829;-1515,0838623
413;-1601;-73,836878828136065;7,734102957686829;-1601,1602783
414;-1688;-73,827174611862972;7,734102957686829;-1688,9626465
415;-1789;-73,817470395589879;7,734102957686829;-1789,3765869
416;-1856;-73,807766179316786;7,734102957686829;-1856,4366455
417;-1907;-73,798061963043693;7,734102957686829;-1907,9079590
418;-1955;-73,788357746770600;7,734102957686829;-1955,6394043
419;-2004;-73,778653530497493;7,734102957686829;-2004,4140625
420;-2047;-73,768949314224400;7,734102957686829;-2047,2589111
421;-2089;-73,759245097951307;7,734102957686829;-2089,7172852
422;-2138;-73,749540881678215;7,734102957686829;-2138,5317383
423;-2186;-73,739836665405122;7,734102957686829;-2186,7888184
424;-2228;-73,730132449132029;7,734102957686829;-2228,9692383
425;-2270;-73,720428232858936;7,734102957686829;-2270,8925781
426;-2311;-73,710724016585843;7,734102957686829;-2311,0278320
427;-2335;-73,701019800312750;7,734102957686829;-2335,1228027
428;-2347;-73,691315584039657;7,734102957686829;-2347,0849609
429;-2387;-73,681611367766564;7,734102957686829;-2387,2358398
430;-2444;-73,671907151493471;7,734102957686829;-2444,3845215
431;-2473;-73,662202935220378;7,734102957686829;-2473,8537598
432;-2500;-73,652498718947285;7,734102957686829;-2500,8789062
433;-2504;-73,642794502674192;7,734102957686829;-2504,8056641
434;-2516;-73,633090286401099;7,734102957686829;-2516,0681152
435;-2504;-73,623386070128007;7,734102957686829;-2504,9770508
436;-2527;-73,613681853854914;7,734102957686829;-2527,6096191
437;-2588;-73,603977637581821;7,734102957686829;-2588,1193848
438;-2636;-73,594273421308728;7,734102957686829;-2636,4453125
